index,validMoves,uniqueValidMoves,coverageRatio,twoCellMoves,threeCellMoves,fourPlusMoves,occupiedRegions,spatialDistributionScore,maxCellParticipationRatio,overlapScore,largestMove,averageArea,scorePotential,progress0ClearedRatio,progress0ValidMoves,progress0HasMove,progress1ClearedRatio,progress1ValidMoves,progress1HasMove,progress2ClearedRatio,progress2ValidMoves,progress2HasMove,progress3ClearedRatio,progress3ValidMoves,progress3HasMove
0,63,63,0.611764705882353,43,16,4,9,96.30094417365412,0.07936507936507936,74.60317460317461,4,2.380952380952381,104,0.1,60,true,0.24705882352941178,50,true,0.5058823529411764,18,true,0.6588235294117647,0,false
1,62,62,0.6235294117647059,44,12,6,9,95.20312894000995,0.04838709677419355,87.09677419354838,5,2.403225806451613,106,0.1,56,true,0.24705882352941178,50,true,0.5,26,true,0.6705882352941176,0,false
2,63,63,0.6470588235294118,44,15,4,9,97.17722812780397,0.047619047619047616,87.3015873015873,4,2.365079365079365,110,0.10588235294117647,59,true,0.24705882352941178,56,true,0.5,36,true,0.7529411764705882,0,false
3,63,63,0.6352941176470588,44,12,7,9,96.07779681170024,0.047619047619047616,87.3015873015873,4,2.4126984126984126,108,0.10588235294117647,63,true,0.2529411764705882,51,true,0.5058823529411764,31,true,0.7470588235294118,1,true
4,60,60,0.6176470588235294,43,13,4,9,95.06389788693681,0.05,86.66666666666666,5,2.3666666666666667,105,0.10588235294117647,56,true,0.24705882352941178,46,true,0.5,22,true,0.7235294117647059,0,false
5,65,65,0.6235294117647059,46,18,1,9,96.24432565486934,0.06153846153846154,81.53846153846153,4,2.3076923076923075,106,0.1,64,true,0.2647058823529412,51,true,0.5,21,true,0.6529411764705882,0,false
6,72,72,0.6352941176470588,51,13,8,9,97.7257872576214,0.05555555555555555,83.33333333333334,5,2.4166666666666665,108,0.10588235294117647,68,true,0.24705882352941178,55,true,0.5117647058823529,27,true,0.6882352941176471,0,false
7,65,65,0.6764705882352942,45,15,5,9,96.95734677773076,0.06153846153846154,81.53846153846153,4,2.3846153846153846,115,0.1,59,true,0.24705882352941178,51,true,0.5,26,true,0.6764705882352942,0,false
8,64,64,0.6058823529411764,45,13,6,9,93.2099899895771,0.0625,81.25,4,2.390625,103,0.10588235294117647,61,true,0.2529411764705882,51,true,0.5,26,true,0.6823529411764706,0,false
9,59,59,0.6058823529411764,40,16,3,9,95.62699004743355,0.06779661016949153,79.66101694915254,4,2.3728813559322033,103,0.1,53,true,0.2529411764705882,42,true,0.5058823529411764,16,true,0.6235294117647059,0,false
