index,validMoves,uniqueValidMoves,coverageRatio,twoCellMoves,threeCellMoves,fourPlusMoves,occupiedRegions,spatialDistributionScore,maxCellParticipationRatio,overlapScore,largestMove,averageArea,scorePotential,progress0ClearedRatio,progress0ValidMoves,progress0HasMove,progress1ClearedRatio,progress1ValidMoves,progress1HasMove,progress2ClearedRatio,progress2ValidMoves,progress2HasMove,progress3ClearedRatio,progress3ValidMoves,progress3HasMove
0,62,62,0.6176470588235294,38,17,7,9,98.09260695160265,0.06451612903225806,80.64516129032258,4,2.5,105,0.10588235294117647,56,true,0.24705882352941178,47,true,0.5176470588235295,14,true,0.5882352941176471,0,false
1,58,58,0.6058823529411764,39,14,5,9,97.94756499553343,0.06896551724137931,79.3103448275862,4,2.413793103448276,103,0.10588235294117647,55,true,0.2529411764705882,43,true,0.5058823529411764,22,true,0.6529411764705882,0,false
2,61,61,0.6176470588235294,39,13,9,9,97.96952589602625,0.06557377049180328,80.32786885245902,4,2.5081967213114753,105,0.10588235294117647,57,true,0.2529411764705882,44,true,0.5,22,true,0.6529411764705882,0,false
3,60,60,0.5941176470588235,38,12,10,9,97.42182936313176,0.06666666666666667,80,5,2.55,101,0.10588235294117647,54,true,0.2529411764705882,45,true,0.5,29,true,0.7588235294117647,4,true
4,64,64,0.6411764705882353,40,16,8,9,98.80862719664985,0.0625,81.25,5,2.53125,109,0.12352941176470589,62,true,0.2529411764705882,49,true,0.5117647058823529,25,true,0.7235294117647059,0,false
5,60,60,0.6588235294117647,36,13,11,9,99.33589450697585,0.05,86.66666666666666,5,2.6,112,0.10588235294117647,56,true,0.2647058823529412,49,true,0.5176470588235295,19,true,0.6588235294117647,0,false
6,58,58,0.5823529411764706,39,10,9,9,97.24749319660265,0.06896551724137931,79.3103448275862,5,2.5,99,0.10588235294117647,61,true,0.2529411764705882,48,true,0.5176470588235295,21,true,0.7058823529411765,0,false
7,52,52,0.5176470588235295,34,12,6,9,93.64371667972988,0.07692307692307693,76.92307692307692,5,2.480769230769231,88,0.10588235294117647,53,true,0.2529411764705882,52,true,0.5058823529411764,27,true,0.6705882352941176,0,false
8,56,56,0.5705882352941176,38,16,2,9,95.70733319556467,0.05357142857142857,85.71428571428572,5,2.375,97,0.1,53,true,0.24705882352941178,46,true,0.5058823529411764,23,true,0.6588235294117647,0,false
9,61,61,0.6352941176470588,37,21,3,9,97.47076167284426,0.06557377049180328,80.32786885245902,5,2.459016393442623,108,0.1,59,true,0.2529411764705882,50,true,0.5,21,true,0.6470588235294118,0,false
10,60,60,0.5941176470588235,39,17,4,9,97.4501753987421,0.06666666666666667,80,5,2.433333333333333,101,0.1,56,true,0.24705882352941178,49,true,0.5058823529411764,30,true,0.7352941176470589,0,false
11,52,52,0.5647058823529412,35,13,4,9,95.81788175876491,0.057692307692307696,84.61538461538461,5,2.423076923076923,96,0.10588235294117647,48,true,0.2647058823529412,43,true,0.5058823529411764,13,true,0.6,0,false
